id,year,week,positive_rate,indicator,t2,volume,vw
201114,2011,14,0.096155263,1,0,0.3686275787682017,0.41704839808260935
201115,2011,15,0.075711734,1,0,0.36740075589279275,0.42325769771177707
201116,2011,16,0.068058399,0,0,0.36885757943408976,0.0
201117,2011,17,0.058517016,0,0,0.39360010048005417,0.0
201118,2011,18,0.053856290999999994,0,0,0.36961314872100703,0.0
201119,2011,19,0.051351941,0,0,0.370322415891781,0.0
201120,2011,20,0.046270108,0,0,0.37121756830419383,0.0
201121,2011,21,0.05037830099999999,0,0,0.34097303044420546,0.0
201122,2011,22,0.03057597,0,0,0.33313203980824,0.0
201123,2011,23,0.028735041,0,0,0.33463023508771916,0.0
201124,2011,24,0.02540696,0,0,0.3338614925299552,0.0
201125,2011,25,0.02088008,0,0,0.33908801072876776,0.0
201126,2011,26,0.021708674,0,0,0.3423158249147088,0.0
201127,2011,27,0.020316927,0,0,0.34213270419145253,0.0
201128,2011,28,0.022449487,0,0,0.351401677586749,0.0
201129,2011,29,0.024706455,0,0,0.3593089963881839,0.0
201130,2011,30,0.029017781,0,0,0.36319352450244735,0.0
201131,2011,31,0.026881752999999998,0,0,0.36849746870281014,0.0
201132,2011,32,0.032658353,0,0,0.37694688703214535,0.0
201133,2011,33,0.036437924,0,0,0.3874803041358876,0.0
201134,2011,34,0.035305486000000004,0,0,0.39219436666722185,0.0
201135,2011,35,0.035107601,0,0,0.38804412842043623,0.0
201136,2011,36,0.037863745,0,0,0.3936417370939689,0.0
201137,2011,37,0.03533145,0,0,0.3814033341339116,0.0
201138,2011,38,0.029085793999999998,0,0,0.38103132776921866,0.0
201139,2011,39,0.034848326,0,0,0.44658340858109813,0.0
201140,2011,40,0.045318412,0,0,0.4495948656973108,0.0
201141,2011,41,0.032610381,0,0,0.4410403258475752,0.0
201142,2011,42,0.031587587,0,0,0.4440273614346868,0.0
201143,2011,43,0.038505803,0,0,0.394434096787575,0.0
201144,2011,44,0.042009162,0,0,0.3560807795892596,0.0
201145,2011,45,0.062884929,1,0,0.36045568024593516,0.4593386237500358
201146,2011,46,0.067108325,1,0,0.3621928918374543,0.4589486763463524
201147,2011,47,0.066111455,1,0,0.36193713982052,0.45413220063076837
201148,2011,48,0.074769547,1,0,0.36047537576705624,0.4335027778906423
201149,2011,49,0.096125691,1,0,0.36074371415182843,0.411578820720119
201150,2011,50,0.132145538,1,0,0.3588444219205164,0.3896548635495958
201151,2011,51,0.188325988,1,0,0.35853342802000115,0.3680566432015312
201152,2011,52,0.26162018600000003,1,0,0.34607307741192667,0.3572077379946089
201201,2012,1,0.240714082,1,0,0.3236123399276897,0.33617161970200865
201202,2012,2,0.349983456,1,0,0.30899688554879823,0.33046465572257583
201203,2012,3,0.327029745,1,0,0.31633486647930964,0.3247576917431427
201204,2012,4,0.326538345,1,0,0.3365225227509837,0.32436151462534346
201205,2012,5,0.326091328,1,0,0.39361052527018703,0.3356490686031385
201206,2012,6,0.324976799,1,0,0.45617196187919934,0.3472906750383758
201207,2012,7,0.406861259,1,0,0.4663530257515974,0.3589322814736132
201208,2012,8,0.410620828,1,0,0.44086205337021916,0.3717758364798481
201209,2012,9,0.407803371,1,0,0.41773906600065036,0.38295929446069465
201210,2012,10,0.39309314700000003,1,0,0.348465199946728,0.39234132438915353
201211,2012,11,0.347402056,1,0,0.32776466302103596,0.4017233543176122
201212,2012,12,0.279035039,1,0,0.321204360357369,0.411031714716604
201213,2012,13,0.24390789899999998,1,0,0.34546867212019566,0.4179089806431869
