id,year,week,positive_rate,indicator,t2,volume,vw
201207,2012,7,0.299160331,1,0,0.35279208966153924,0.3763863068349315
201208,2012,8,0.331894447,1,0,0.3460163625700873,0.3898544134526513
201209,2012,9,0.311073204,1,0,0.339551412727663,0.4015816964648479
201210,2012,10,0.29912442899999997,1,0,0.3142666426165276,0.4114199522519553
201211,2012,11,0.27040964100000003,1,0,0.31316684454132027,0.4212582080390625
201212,2012,12,0.23470965300000002,1,0,0.30951007348703713,0.43101921192224935
201213,2012,13,0.20306427300000002,1,0,0.32526135925150185,0.4382309029760632
201214,2012,14,0.175331235,1,0,0.34222010609128833,0.4442838154710711
201215,2012,15,0.129696279,0,0,0.3469097957374106,0.0
201216,2012,16,0.12382791,0,0,0.35032040395549163,0.0
201217,2012,17,0.08944965099999999,0,0,0.39243403583676995,0.0
201218,2012,18,0.078050377,0,0,0.39089009220701604,0.0
201219,2012,19,0.054691776,0,0,0.3926860561858794,0.0
201220,2012,20,0.024965803999999998,0,0,0.39412770690250065,0.0
201221,2012,21,0.027704896,0,0,0.3790515455891186,0.0
201222,2012,22,0.030143387999999997,0,0,0.34372872460054293,0.0
201223,2012,23,0.02695088,0,0,0.349282194173433,0.0
201224,2012,24,0.021950901000000002,0,0,0.35019808674990555,0.0
201225,2012,25,0.019469649,0,0,0.35436489156495515,0.0
201226,2012,26,0.011650608,0,0,0.3613107961834311,0.0
201227,2012,27,0.030154541,0,0,0.3639510494578544,0.0
201228,2012,28,0.046961746,0,0,0.37973838066749166,0.0
201229,2012,29,0.044615506,0,0,0.3971792560201807,0.0
201230,2012,30,0.052427099000000005,0,0,0.4147463054178577,0.0
201231,2012,31,0.05523942,0,0,0.4334500529143855,0.0
201232,2012,32,0.10833646300000001,0,0,0.44570270912667903,0.0
201233,2012,33,0.10043551199999999,0,0,0.4577638226584887,0.0
201234,2012,34,0.125837701,0,0,0.46175652337723627,0.0
201235,2012,35,0.09190420199999999,0,0,0.4521400766429265,0.0
201236,2012,36,0.09965337699999999,0,0,0.443596737702623,0.0
201237,2012,37,0.10591995800000001,0,0,0.4280292517424471,0.0
201238,2012,38,0.10104245099999999,0,0,0.41094962161876797,0.0
201239,2012,39,0.094861289,0,0,0.46303223882479605,0.0
201240,2012,40,0.047867739000000006,0,0,0.4868658573817523,0.0
201241,2012,41,0.020728665,0,0,0.4775980761397515,0.0
201242,2012,42,0.025875161,0,0,0.4791136049167653,0.0
201243,2012,43,0.032529402,0,0,0.45167247796849613,0.0
201244,2012,44,0.038165715,0,0,0.38583531791718734,0.0
201245,2012,45,0.032198700000000004,0,0,0.381451157109614,0.0
201246,2012,46,0.044218074,0,0,0.37433327564307334,0.0
201247,2012,47,0.073523003,0,0,0.36546802487783914,0.0
201248,2012,48,0.093808815,0,0,0.3577398538187149,0.0
201249,2012,49,0.135751597,1,0,0.3552515754962388,0.38395749577227156
201250,2012,50,0.183380618,1,0,0.35075186075317777,0.36504466012227393
201251,2012,51,0.21187042399999997,1,0,0.35048713216439975,0.3461318244722765
201252,2012,52,0.22467092,1,0,0.34191950856576386,0.33522097862828043
201301,2013,1,0.27493870600000003,1,0,0.31611086423229595,0.34535496485612904
201302,2013,2,0.280266581,1,0,0.2987335841899607,0.34510595782579534
201303,2013,3,0.27874975399999996,1,0,0.28632325120306346,0.34485695079546186
201304,2013,4,0.24777850899999998,1,0,0.28878672422649593,0.3444196760590064
201305,2013,5,0.203018693,1,0,0.3088227148459549,0.34282141713479897
201306,2013,6,0.17100426600000002,1,0,0.3412993387417417,0.34103489050446967
201307,2013,7,0.141898838,1,0,0.3500364497621134,0.3392483638741404
201308,2013,8,0.09790106,1,0,0.34970887931209876,0.34004870328294157
201309,2013,9,0.093762203,1,0,0.3429352351448602,0.3578222556265688
201310,2013,10,0.082304641,1,0,0.31898076295875943,0.37894832827946767
201311,2013,11,0.085494846,1,0,0.3148030519353408,0.40007440093236657
201312,2013,12,0.06696308,1,0,0.30985257698298097,0.4212004735852653
201313,2013,13,0.047794933,1,0,0.3210740722062533,0.4294339672698848
201314,2013,14,0.047261828,1,0,0.34162589207963084,0.42799802672829484
201315,2013,15,0.026749361,0,0,0.34620653611253144,0.0
201316,2013,16,0.029691673,0,0,0.34999234731328394,0.0
201317,2013,17,0.02762557,0,0,0.38539202826518615,0.0
201318,2013,18,0.01899182,0,0,0.3921997737158103,0.0
201319,2013,19,0.020357168000000002,0,0,0.3924096599584675,0.0
201320,2013,20,0.011746686000000001,0,0,0.39397323783208904,0.0
201321,2013,21,0.00834995,0,0,0.3860808032903295,0.0
201322,2013,22,0.012446154,0,0,0.3430986585347928,0.0
201323,2013,23,0.020438056,0,0,0.34935418860962036,0.0
201324,2013,24,0.0147,0,0,0.34992000839473636,0.0
201325,2013,25,0.013372318999999999,0,0,0.35341505561719583,0.0
