id,year,week,positive_rate,t2,volume,vw
201114,2011,14,0.040941328,0,0.2864239261182819,0.41704839808260935
201115,2011,15,0.032943936,0,0.2877154410958947,0.42325769771177707
201116,2011,16,0.014469032,0,0.2918051877599204,0.0
201117,2011,17,0.01319925,0,0.3196349270054188,0.0
201118,2011,18,0.020094335,0,0.3021776597809851,0.0
201119,2011,19,0.024049037000000002,0,0.3029271819176468,0.0
201120,2011,20,0.025689307999999998,0,0.3030669305448712,0.0
201121,2011,21,0.01854991,0,0.2721856750465536,0.0
201122,2011,22,0.012868092,0,0.262099208166022,0.0
201123,2011,23,0.005405405,0,0.26323967927786135,0.0
201124,2011,24,0.0,0,0.2601942089567786,0.0
201125,2011,25,0.001972387,0,0.26395707569188503,0.0
201126,2011,26,0.001972387,0,0.2658532856417518,0.0
201127,2011,27,0.008301501,0,0.2648403327120965,0.0
201128,2011,28,0.006329114,0,0.27340763721221095,0.0
201129,2011,29,0.011793595,0,0.2809505536835581,0.0
201130,2011,30,0.00734772,0,0.28574615616902427,0.0
201131,2011,31,0.013915865,0,0.29210708781067113,0.0
201132,2011,32,0.024613,0,0.29910359603953895,0.0
201133,2011,33,0.04027362,0,0.3048533210569157,0.0
201134,2011,34,0.035339463,0,0.3059931884116657,0.0
201135,2011,35,0.023076482000000002,0,0.30112999199110535,0.0
201136,2011,36,0.008768868,0,0.3009380642892345,0.0
201137,2011,37,0.009231317,0,0.2917911852424658,0.0
201138,2011,38,0.015357745,0,0.2993624259055531,0.0
201139,2011,39,0.01892422,0,0.3653263718301169,0.0
201140,2011,40,0.016827784,0,0.3673557445260632,0.0
201141,2011,41,0.013381668000000001,0,0.3582158586258724,0.0
201142,2011,42,0.014271255,0,0.35242159281540014,0.0
201143,2011,43,0.033021255,0,0.2966436303056134,0.0
201144,2011,44,0.043427445999999995,0,0.26271729784848763,0.0
201145,2011,45,0.062807896,0,0.268611198524005,0.4593386237500358
201146,2011,46,0.070537647,0,0.2765451895489727,0.4589486763463524
201147,2011,47,0.070219175,0,0.2783157036014985,0.4541322006307684
201148,2011,48,0.083550458,0,0.2775041791100515,0.4335027778906423
201149,2011,49,0.10823349800000001,0,0.2785582788041887,0.411578820720119
201150,2011,50,0.14381908300000001,0,0.278751036692782,0.3896548635495958
201151,2011,51,0.194571506,0,0.2827605429477502,0.3680566432015312
201152,2011,52,0.201429193,0,0.27441841743584927,0.3572077379946089
201201,2012,1,0.246448589,0,0.25779287949745217,0.33617161970200865
201202,2012,2,0.246334711,0,0.2529403533601797,0.33046465572257583
201203,2012,3,0.293337064,0,0.28203947583936567,0.3247576917431427
201204,2012,4,0.289158509,0,0.3397178727985763,0.32436151462534346
201205,2012,5,0.309640088,0,0.4034481554568433,0.3356490686031385
201206,2012,6,0.375978759,0,0.44451533641247865,0.3472906750383758
201207,2012,7,0.41387981799999995,0,0.4325938124230951,0.3589322814736132
201208,2012,8,0.44521279700000005,0,0.36530277220162016,0.3717758364798481
201209,2012,9,0.37631562700000004,0,0.31306728753866386,0.38295929446069465
201210,2012,10,0.32680295600000003,0,0.25304437570201055,0.3923413243891535
201211,2012,11,0.235858382,0,0.24148206325882826,0.4017233543176122
201212,2012,12,0.168927045,0,0.24159371888465217,0.411031714716604
201213,2012,13,0.107853726,0,0.2682808311050358,0.4179089806431869
201214,2012,14,0.065861793,0,0.2862575579639139,0.4236812036277657
201215,2012,15,0.045143613,0,0.287316775109867,0.4294534266123446
201216,2012,16,0.02473545,0,0.2879289224118884,0.0
201217,2012,17,0.019172113,0,0.31885350261511375,0.0
201218,2012,18,0.004357298,0,0.30274493787220286,0.0
201219,2012,19,0.012904307,0,0.30264194074027395,0.0
201220,2012,20,0.021367521,0,0.3032305880570482,0.0
201221,2012,21,0.027391618,0,0.2867810438061909,0.0
201222,2012,22,0.020981361,0,0.25857350858919903,0.0
201223,2012,23,0.015568256,0,0.26373636913893994,0.0
201224,2012,24,0.01199514,0,0.26061321803474174,0.0
201225,2012,25,0.014131892,0,0.26247361157737864,0.0
201226,2012,26,0.014988946999999999,0,0.26693185953700044,0.0
201227,2012,27,0.034182989,0,0.2634039098038574,0.0
201228,2012,28,0.048050074000000005,0,0.2706033337772937,0.0
201229,2012,29,0.069025377,0,0.27930887328411746,0.0
201230,2012,30,0.082468075,0,0.28440063800816845,0.0
201231,2012,31,0.087801664,0,0.2900931236512486,0.0
201232,2012,32,0.07979332,0,0.29719370118951666,0.0
201233,2012,33,0.053535623,0,0.30343611577164753,0.0
201234,2012,34,0.039585254,0,0.3066714766621428,0.0
201235,2012,35,0.033948373999999996,0,0.30260744250404775,0.0
201236,2012,36,0.030932305,0,0.30098725690860667,0.0
201237,2012,37,0.023091997000000003,0,0.2947195722820485,0.0
201238,2012,38,0.009328956999999999,0,0.2889222146886266,0.0
201239,2012,39,0.006316124,0,0.3512489176305855,0.0
201240,2012,40,0.004632622,0,0.370875364751462,0.0
201241,2012,41,0.00280112,0,0.35962264229780194,0.0
201242,2012,42,0.0,0,0.35443661001472654,0.0
201243,2012,43,0.0,0,0.3193823406759976,0.0
201244,2012,44,0.002380952,0,0.26426242898401964,0.0
201245,2012,45,0.002380952,0,0.2668153345845527,0.4033180176438803
201246,2012,46,0.002380952,0,0.27431486818036677,0.4017121342819547
201247,2012,47,0.0,0,0.2787921889522089,0.39903479154382254
201248,2012,48,0.002109705,0,0.27737397029959276,0.38418817201775374
201249,2012,49,0.002109705,0,0.2784577615741282,0.3661523744190748
201250,2012,50,0.002109705,0,0.2784746906235337,0.3481165768203958
