id,year,week,startdate,enddate,positive_rate,maskindex
202006,2020,6,2020/2/2,2020/2/8,0.302596,0
202007,2020,7,2020/2/9,2020/2/15,0.29675,0
202008,2020,8,2020/2/16,2020/2/22,0.283215,0
202009,2020,9,2020/2/23,2020/2/29,0.257517,0
202010,2020,10,2020/3/1,2020/3/7,0.224914,0
202011,2020,11,2020/3/8,2020/3/14,0.158125,0
202012,2020,12,2020/3/15,2020/3/21,0.0750171,0
202013,2020,13,2020/3/22,2020/3/28,0.0232158,0
202014,2020,14,2020/3/29,2020/4/4,0.010312,0
202015,2020,15,2020/4/5,2020/4/11,0.0061823,0.02
202016,2020,16,2020/4/12,2020/4/18,0.00623139,0.08
202017,2020,17,2020/4/19,2020/4/25,0.00218375,0.14
202018,2020,18,2020/4/26,2020/5/2,0.00262953,0.18
202019,2020,19,2020/5/3,2020/5/9,0.00326173,0.22
202020,2020,20,2020/5/10,2020/5/16,0.00305966,0.24
202021,2020,21,2020/5/17,2020/5/23,0.00212681,0.24
202022,2020,22,2020/5/24,2020/5/30,0.0016518,0.26
202023,2020,23,2020/5/31,2020/6/6,0.00339751,0.26
202024,2020,24,2020/6/7,2020/6/13,0.00279818,0.28
202025,2020,25,2020/6/14,2020/6/20,0.0038117,0.3
202026,2020,26,2020/6/21,2020/6/27,0.00282336,0.34
202027,2020,27,2020/6/28,2020/7/4,0.00207734,0.4
202028,2020,28,2020/7/5,2020/7/11,0.00173996,0.46
202029,2020,29,2020/7/12,2020/7/18,0.00372409,0.54
202030,2020,30,2020/7/19,2020/7/25,0.00148957,0.6
202031,2020,31,2020/7/26,2020/8/1,0.0013104,0.68
202032,2020,32,2020/8/2,2020/8/8,0.00173776,0.7
202033,2020,33,2020/8/9,2020/8/15,0.00130719,0.7
202034,2020,34,2020/8/16,2020/8/22,0.00224431,0.7
202035,2020,35,2020/8/23,2020/8/29,0.00310414,0.7
202036,2020,36,2020/8/30,2020/9/5,0.00198686,0.7
202037,2020,37,2020/9/6,2020/9/12,0.00184162,0.7
202038,2020,38,2020/9/13,2020/9/19,0.00395893,0.7
202039,2020,39,2020/9/20,2020/9/26,0.00221754,0.7
202040,2020,40,2020/9/27,2020/10/3,0.00327869,0.68
202041,2020,41,2020/10/4,2020/10/10,0.00388636,0.68
202042,2020,42,2020/10/11,2020/10/17,0.00350715,0.68
202043,2020,43,2020/10/18,2020/10/24,0.00252845,0.68
202044,2020,44,2020/10/25,2020/10/31,0.00214008,0.68
202045,2020,45,2020/11/1,2020/11/7,0.00205981,0.68
202046,2020,46,2020/11/8,2020/11/14,0.00214857,0.72
202047,2020,47,2020/11/15,2020/11/21,0.0022712,0.76
202048,2020,48,2020/11/22,2020/11/28,0.00155909,0.76
202049,2020,49,2020/11/29,2020/12/5,0.00225734,0.76
202050,2020,50,2020/12/6,2020/12/12,0.00244142,0.78
202051,2020,51,2020/12/13,2020/12/19,0.00286057,0.78
202052,2020,52,2020/12/20,2020/12/26,0.00278137,0.78
202053,2020,53,2020/12/27,2021/1/2,0.00264478,0.78
202101,2021,1,2021/1/3,2021/1/9,0.00273905,0.78
202102,2021,2,2021/1/10,2021/1/16,0.0016997,0.78
202103,2021,3,2021/1/17,2021/1/23,0.00213034,0.76
202104,2021,4,2021/1/24,2021/1/30,0.00167518,0.76
202105,2021,5,2021/1/31,2021/2/6,0.00199973,0.76
202106,2021,6,2021/2/7,2021/2/13,0.0013212,0.72
202107,2021,7,2021/2/14,2021/2/20,0.00126492,0.72
202108,2021,8,2021/2/21,2021/2/27,0.00122399,0.72
202109,2021,9,2021/2/28,2021/3/6,0.000907202,0.72
202110,2021,10,2021/3/7,2021/3/13,0.00105325,0.7
202111,2021,11,2021/3/14,2021/3/20,0.00129806,0.68
202112,2021,12,2021/3/21,2021/3/27,0.000839043,0.68
202113,2021,13,2021/3/28,2021/4/3,0.000689893,0.62
202114,2021,14,2021/4/4,2021/4/10,0.000761977,0.58
202115,2021,15,2021/4/11,2021/4/17,0.000694835,0.54
202116,2021,16,2021/4/18,2021/4/24,0.00088345,0.54
202117,2021,17,2021/4/25,2021/5/1,0.000800307,0.54
202118,2021,18,2021/5/2,2021/5/8,0.000836456,0.54
202119,2021,19,2021/5/9,2021/5/15,0.00104246,0.46
202120,2021,20,2021/5/16,2021/5/22,0.00152585,0.38
202121,2021,21,2021/5/23,2021/5/29,0.00151907,0.34
202122,2021,22,2021/5/30,2021/6/5,0.000935096,0.3
202123,2021,23,2021/6/6,2021/6/12,0.00104121,0.28
202124,2021,24,2021/6/13,2021/6/19,0.00120098,0.26
202125,2021,25,2021/6/20,2021/6/26,0.0013146,0.22
202126,2021,26,2021/6/27,2021/7/3,0.000713426,0.18
202127,2021,27,2021/7/4,2021/7/10,0.000574288,0.16
202128,2021,28,2021/7/11,2021/7/17,0.0010632,0.16
202129,2021,29,2021/7/18,2021/7/24,0,0
202130,2021,30,2021/7/25,2021/7/31,0,0
202131,2021,31,2021/8/1,2021/8/7,0,0
202132,2021,32,2021/8/8,2021/8/14,0,0
202133,2021,33,2021/8/15,2021/8/21,0,0
202134,2021,34,2021/8/22,2021/8/28,0,0
202135,2021,35,2021/8/29,2021/9/4,0,0
202136,2021,36,2021/9/5,2021/9/11,0,0
202137,2021,37,2021/9/12,2021/9/18,0,0
202138,2021,38,2021/9/19,2021/9/25,0,0
202139,2021,39,2021/9/26,2021/10/2,0,0
202140,2021,40,2021/10/3,2021/10/9,0,0
202141,2021,41,2021/10/10,2021/10/16,0,0
202142,2021,42,2021/10/17,2021/10/23,0,0
202143,2021,43,2021/10/24,2021/10/30,0,0
202144,2021,44,2021/10/31,2021/11/6,0,0
202145,2021,45,2021/11/7,2021/11/13,0,0
202146,2021,46,2021/11/14,2021/11/20,0,0
202147,2021,47,2021/11/21,2021/11/27,0,0
202148,2021,48,2021/11/28,2021/12/4,0,0
202149,2021,49,2021/12/5,2021/12/11,0,0
202150,2021,50,2021/12/12,2021/12/18,0,0
202151,2021,51,2021/12/19,2021/12/25,0,0
202152,2021,52,2021/12/26,2022/1/1,0,0
202201,2022,1,2022/1/2,2022/1/8,0,0
202202,2022,2,2022/1/9,2022/1/15,0,0
202203,2022,3,2022/1/16,2022/1/22,0,0
202204,2022,4,2022/1/23,2022/1/29,0,0
202205,2022,5,2022/1/30,2022/2/5,0,0
202206,2022,6,2022/2/6,2022/2/12,0,0
202207,2022,7,2022/2/13,2022/2/19,0,0
202208,2022,8,2022/2/20,2022/2/26,0,0
202209,2022,9,2022/2/27,2022/3/5,0,0
202210,2022,10,2022/3/6,2022/3/12,0,0
202211,2022,11,2022/3/13,2022/3/19,0,0
202212,2022,12,2022/3/20,2022/3/26,0,0
202213,2022,13,2022/3/27,2022/4/2,0,0
202214,2022,14,2022/4/3,2022/4/9,0,0
202215,2022,15,2022/4/10,2022/4/16,0,0
202216,2022,16,2022/4/17,2022/4/23,0,0
202217,2022,17,2022/4/24,2022/4/30,0,0
202218,2022,18,2022/5/1,2022/5/7,0,0
202219,2022,19,2022/5/8,2022/5/14,0,0
202220,2022,20,2022/5/15,2022/5/21,0,0
202221,2022,21,2022/5/22,2022/5/28,0,0
202222,2022,22,2022/5/29,2022/6/4,0,0
202223,2022,23,2022/6/5,2022/6/11,0,0
202224,2022,24,2022/6/12,2022/6/18,0,0
202225,2022,25,2022/6/19,2022/6/25,0,0
202226,2022,26,2022/6/26,2022/7/2,0,0
202227,2022,27,2022/7/3,2022/7/9,0,0
202228,2022,28,2022/7/10,2022/7/16,0,0
202229,2022,29,2022/7/17,2022/7/23,0,0
202230,2022,30,2022/7/24,2022/7/30,0,0
202231,2022,31,2022/7/31,2022/8/6,0,0
202232,2022,32,2022/8/7,2022/8/13,0,0
202233,2022,33,2022/8/14,2022/8/20,0,0
202234,2022,34,2022/8/21,2022/8/27,0,0
202235,2022,35,2022/8/28,2022/9/3,0,0
202236,2022,36,2022/9/4,2022/9/10,0,0
202237,2022,37,2022/9/11,2022/9/17,0,0
202238,2022,38,2022/9/18,2022/9/24,0,0
202239,2022,39,2022/9/25,2022/10/1,0,0
202240,2022,40,2022/10/2,2022/10/8,0,0
202241,2022,41,2022/10/9,2022/10/15,0,0
202242,2022,42,2022/10/16,2022/10/22,0,0
202243,2022,43,2022/10/23,2022/10/29,0,0
202244,2022,44,2022/10/30,2022/11/5,0,0
202245,2022,45,2022/11/6,2022/11/12,0,0
202246,2022,46,2022/11/13,2022/11/19,0,0
202247,2022,47,2022/11/20,2022/11/26,0,0
202248,2022,48,2022/11/27,2022/12/3,0,0
202249,2022,49,2022/12/4,2022/12/10,0,0
202250,2022,50,2022/12/11,2022/12/17,0,0
202251,2022,51,2022/12/18,2022/12/24,0,0
202252,2022,52,2022/12/25,2022/12/31,0,0
