id,year,week,positive_rate,indicator,t2,volume,vw
201341,2013,41,0.001587302,0,0,0.4226743858265266,0.0
201342,2013,42,0.00525394,0,0,0.41363727948512546,0.0
201343,2013,43,0.009817672,0,0,0.41337148223979014,0.0
201344,2013,44,0.013888889,0,0,0.41415885649167533,0.0
201345,2013,45,0.014005601999999999,0,0,0.41980170529685334,0.0
201346,2013,46,0.005649718000000001,0,0,0.42583824122797403,0.0
201347,2013,47,0.008168028,0,0,0.427150531647783,0.0
201348,2013,48,0.004436557,0,0,0.42701930260580206,0.0
201349,2013,49,0.011009173999999998,0,0,0.422557515178452,0.0
201350,2013,50,0.017167382,1,0,0.4161272921213886,0.3494702448045553
201351,2013,51,0.020123838999999998,1,0,0.41337148223979014,0.34715587232240597
201352,2013,52,0.029776675,1,0,0.41337148223979014,0.34715587232240597
201401,2014,1,0.042334095999999995,1,0,0.39236459554642156,0.3181367462344107
201402,2014,2,0.057546145,1,0,0.38686375565267106,0.3000686166839738
201403,2014,3,0.074525745,1,0,0.3823943232389989,0.28538826142424367
201404,2014,4,0.077131258,1,0,0.38205052074563955,0.28425900332734144
201405,2014,5,0.08450704199999999,1,0,0.3832200631560853,0.2851291839497721
201406,2014,6,0.156962025,1,0,0.398424114491881,0.2964415320413703
201407,2014,7,0.17728237800000002,1,0,0.41713679305901435,0.31036442200026054
201408,2014,8,0.17391304300000002,1,0,0.42298450511124336,0.31471532511241374
201409,2014,9,0.188861985,1,0,0.42181496270079755,0.3138451444899831
201410,2014,10,0.161399549,1,0,0.406610911365002,0.3025327963983848
201411,2014,11,0.156626506,1,0,0.38789823279786867,0.28860990643949463
201412,2014,12,0.083627797,1,0,0.38205052074563955,0.28425900332734144
201413,2014,13,0.098468271,1,0,0.38205052074563955,0.28425900332734144
201414,2014,14,0.081871345,0,0,0.3902965280481721,0.0
201415,2014,15,0.056320401,0,0,0.4095372117540817,0.0
201416,2014,16,0.052301255,0,0,0.4228878902438966,0.0
201417,2014,17,0.035175879,0,0,0.42328055725830294,0.0
201418,2014,18,0.061976549000000006,0,0,0.42198015616073525,0.0
201419,2014,19,0.033482143,0,0,0.4159983111119236,0.0
201420,2014,20,0.031719533,0,0,0.4104065863923824,0.0
201421,2014,21,0.024270981,0,0,0.40962634573384166,0.0
201422,2014,22,0.01682243,0,0,0.40975638584359847,0.0
201423,2014,23,0.014756393000000001,0,0,0.41417774957532877,0.0
201424,2014,24,0.012690355,0,0,0.42054971495341065,0.0
201425,2014,25,0.0073,0,0,0.42328055725830294,0.0
201426,2014,26,0.0019047620000000002,0,0,0.42328055725830294,0.0
201427,2014,27,0.0033200000000000005,0,0,0.42245495377077735,0.0
201428,2014,28,0.004739335999999999,0,0,0.4205285456332176,0.0
201429,2014,29,0.00456,0,0,0.41919185427246186,0.0
201430,2014,30,0.004385965,0,0,0.41915253982067496,0.0
201431,2014,31,0.00643,0,0,0.41915253982067496,0.0
201432,2014,32,0.008474576,0,0,0.41915253982067496,0.0
201433,2014,33,0.00842,0,0,0.41915253982067496,0.0
201434,2014,34,0.008356546,0,0,0.41915253982067496,0.0
201435,2014,35,0.012465566,0,0,0.41915253982067496,0.0
201436,2014,36,0.016574586000000002,0,0,0.4228783401746365,0.0
201437,2014,37,0.00997,0,0,0.4293984907940693,0.0
201438,2014,38,0.003355705,0,0,0.4331242911480308,0.0
201439,2014,39,0.0033399999999999997,0,0,0.4331242911480308,0.0
201440,2014,40,0.003333333,0,0,0.4290511866086478,0.0
201441,2014,41,0.0029112079999999998,0,0,0.41601725208262236,0.0
201442,2014,42,0.015852048,0,0,0.40542718028022673,0.0
201443,2014,43,0.016348774,0,0,0.40461255937235013,0.0
201444,2014,44,0.014727541,0,0,0.40499790466699054,0.0
201445,2014,45,0.00877193,0,0,0.410007393497315,0.0
201446,2014,46,0.012359551000000002,0,0,0.4161729182115602,0.0
201447,2014,47,0.053682895999999994,0,0,0.4180996446847619,0.0
201448,2014,48,0.040462427999999995,0,0,0.4180996446847619,0.0
201449,2014,49,0.08080808099999999,0,0,0.4145030886014521,0.0
201450,2014,50,0.153738644,1,0,0.40820911545566,0.33161225214363566
201451,2014,51,0.222386953,1,0,0.40461255937235013,0.32869055829214994
201452,2014,52,0.30370370399999996,1,0,0.40461255937235013,0.32869055829214994
201501,2015,1,0.316635745,1,0,0.39572321062840093,0.30658345386481234
201502,2015,2,0.249706228,1,0,0.38882272415034597,0.29642379758580606
201503,2015,3,0.19400127600000003,1,0,0.38237226939912083,0.2869267275858653
201504,2015,4,0.16801948100000003,1,0,0.3814722059454615,0.28560155502773404
201505,2015,5,0.182421227,1,0,0.381861463298467,0.2858929851859256
201506,2015,6,0.11758794,1,0,0.3950962133006563,0.2958016105644389
201507,2015,7,0.150997151,1,0,0.4141698235979294,0.31008168831582555
