id,year,week,positive_rate,t2,cpl
201345,2013,45,0.100639022,0,1.0
201346,2013,46,0.115364145,0,1.0
201347,2013,47,0.13789544,0,1.0
201348,2013,48,0.184341809,0,1.0
201349,2013,49,0.232349812,0,1.0
201350,2013,50,0.258046114,0,1.0
201351,2013,51,0.293778285,0,1.0
201352,2013,52,0.353197155,0,1.0
201401,2014,1,0.23368494899999998,0,1.0
201402,2014,2,0.384352519,0,1.0
201403,2014,3,0.377191096,0,1.0
201404,2014,4,0.348833105,0,1.0
201405,2014,5,0.326579519,0,1.0
201406,2014,6,0.27853177,0,1.0
201407,2014,7,0.244060141,0,1.0
201408,2014,8,0.243779143,0,1.0
201409,2014,9,0.24300176199999998,0,1.0
201410,2014,10,0.220338452,0,1.0
201411,2014,11,0.188389876,0,1.0
201412,2014,12,0.156351644,0,1.0
201413,2014,13,0.128091661,0,1.0
201414,2014,14,0.096840751,0,1.0
201415,2014,15,0.065894251,0,1.0
201416,2014,16,0.057584456,0,1.0
201417,2014,17,0.05378532900000001,0,1.0
201418,2014,18,0.051590997,0,1.0
201419,2014,19,0.047948120999999996,0,1.0
201420,2014,20,0.051471616,0,1.0
201421,2014,21,0.058684136,0,1.0
201422,2014,22,0.06323187,0,1.0
201423,2014,23,0.075113526,0,1.0
201424,2014,24,0.097650384,0,1.0
201425,2014,25,0.11095495,0,1.0
201426,2014,26,0.146546597,0,1.0
201427,2014,27,0.15709544,0,1.0
201428,2014,28,0.186603839,0,1.0
201429,2014,29,0.213473825,0,1.0
201430,2014,30,0.230712042,0,1.0
201431,2014,31,0.229143999,0,1.0
201432,2014,32,0.204817232,0,1.0
201433,2014,33,0.195741551,0,1.0
201434,2014,34,0.172070213,0,1.0
201435,2014,35,0.157272596,0,1.0
201436,2014,36,0.131832639,0,1.0
201437,2014,37,0.108687627,0,1.0
201438,2014,38,0.08625077199999999,0,1.0
201439,2014,39,0.062307012,0,1.0
201440,2014,40,0.046504683,0,1.0
201441,2014,41,0.03495255,0,1.0
201442,2014,42,0.027705842,0,1.0
201443,2014,43,0.031702519,0,1.0
201444,2014,44,0.02199465,0,1.0
201445,2014,45,0.02417399,0,1.0
201446,2014,46,0.031516196,0,1.0
201447,2014,47,0.040719342,0,1.0
201448,2014,48,0.034193378999999996,0,1.0
201449,2014,49,0.045124894000000006,0,1.0
201450,2014,50,0.062318095,0,1.0
201451,2014,51,0.077836752,0,1.0
201452,2014,52,0.113365669,0,1.0
201501,2015,1,0.17304668199999998,0,1.0
201502,2015,2,0.169362962,0,1.0
201503,2015,3,0.21393857100000002,0,1.0
201504,2015,4,0.223756652,0,1.0
201505,2015,5,0.19871089600000003,0,1.0
201506,2015,6,0.185313454,0,1.0
201507,2015,7,0.180620266,0,1.0
201508,2015,8,0.16334152400000002,0,1.0
201509,2015,9,0.164561649,0,1.0
201510,2015,10,0.132236486,0,1.0
201511,2015,11,0.150864707,0,1.0
201512,2015,12,0.14236632400000002,0,1.0
201513,2015,13,0.122508613,0,1.0
201514,2015,14,0.105571581,0,1.0
201515,2015,15,0.08873582099999999,0,1.0
201516,2015,16,0.08425989199999999,0,1.0
201517,2015,17,0.06975822799999999,0,1.0
201518,2015,18,0.066736371,0,1.0
201519,2015,19,0.06502727700000001,0,1.0
201520,2015,20,0.052031376,0,1.0
201521,2015,21,0.056212261,0,1.0
201522,2015,22,0.07473877,0,1.0
201523,2015,23,0.109703157,0,1.0
201524,2015,24,0.139690019,0,1.0
201525,2015,25,0.18225302300000001,0,1.0
201526,2015,26,0.202550082,0,1.0
201527,2015,27,0.23202398600000002,0,1.0
201528,2015,28,0.23431483600000003,0,1.0
201529,2015,29,0.23152402800000002,0,1.0
201530,2015,30,0.24678677100000002,0,1.0
201531,2015,31,0.261667745,0,1.0
201532,2015,32,0.210826862,0,1.0
201533,2015,33,0.18360220000000002,0,1.0
201534,2015,34,0.166075656,0,1.0
201535,2015,35,0.13949345400000002,0,1.0
201536,2015,36,0.108027,0,1.0
201537,2015,37,0.078959611,0,1.0
201538,2015,38,0.062134601,0,1.0
201539,2015,39,0.047010472000000005,0,1.0
201540,2015,40,0.04588344,0,1.0
201541,2015,41,0.042458312000000005,0,1.0
201542,2015,42,0.030075306,0,1.0
201543,2015,43,0.030589526000000002,0,1.0
201544,2015,44,0.022306796,0,1.0
201545,2015,45,0.025758157,0,1.0
201546,2015,46,0.02811232,0,1.0
201547,2015,47,0.032052215,0,1.0
201548,2015,48,0.037938996,0,1.0
201549,2015,49,0.053580043,0,1.0
201550,2015,50,0.058822752,0,1.0
201551,2015,51,0.078386474,0,1.0
