date,volume
2019/8/22,56.82361
2019/8/23,61.299444
2019/8/24,64.544721
2019/8/25,65.155558
2019/8/26,56.381667
2019/8/27,54.70139
2019/8/28,55.864168
2019/8/29,56.035279
2019/8/30,60.107224
2019/8/31,63.093056
2019/9/1,56.748891
2019/9/2,49.58028
2019/9/3,50.026669
2019/9/4,54.43
2019/9/5,54.913334
2019/9/6,59.541112
2019/9/7,63.653611
2019/9/8,57.735281
2019/9/9,51.485278
2019/9/10,51.9975
2019/9/11,54.228334
2019/9/12,73.163055
2019/9/13,68.530557
2019/9/14,63.439999
2019/9/15,65.51722
2019/9/16,49.811944
2019/9/17,49.102222
2019/9/18,49.606946
2019/9/19,49.375
2019/9/20,52.417777
2019/9/21,53.068056
2019/9/22,52.545558
2019/9/23,49.267224
2019/9/24,49.37861
2019/9/25,51.468888
2019/9/26,53.241111
2019/9/27,56.481945
2019/9/28,62.733613
2019/9/29,67.055001
2019/9/30,120.316111
2019/10/1,175.061669
2019/10/2,133.814443
2019/10/3,127.354722
2019/10/4,120.316667
2019/10/5,109.132224
2019/10/6,102.756111
2019/10/7,85.811667
2019/10/8,49.236945
2019/10/9,50.101945
2019/10/10,50.128612
2019/10/11,49.636112
2019/10/12,50.665556
2019/10/13,53.002776
2019/10/14,51.995278
2019/10/15,46.848334
2019/10/16,45.68611
2019/10/17,46.585554
2019/10/18,50.41
2019/10/19,52.006389
2019/10/20,51.156113
2019/10/21,44.284444
2019/10/22,43.221388
2019/10/23,44.4175
2019/10/24,44.997779
2019/10/25,48.694168
2019/10/26,49.690833
2019/10/27,49.12
2019/10/28,45.538056
2019/10/29,53.669166
2019/10/30,51.830557
2019/10/31,53.173058
2019/11/1,59.925833
2019/11/2,62.490277
2019/11/3,60.198332
2019/11/4,51.746666
2019/11/5,51.636669
2019/11/6,51.588056
2019/11/7,51.858887
2019/11/8,57.10861
2019/11/9,59.806112
2019/11/10,59.274721
2019/11/11,50.205556
2019/11/12,50.946945
2019/11/13,51.694445
2019/11/14,52.380556
2019/11/15,58.732497
2019/11/16,61.702778
2019/11/17,58.664999
2019/11/18,49.898333
2019/11/19,50.580277
2019/11/20,51.431387
2019/11/21,51.755277
2019/11/22,57.438334
2019/11/23,60.656667
2019/11/24,57.977224
2019/11/25,48.253334
2019/11/26,47.208889
2019/11/27,47.043056
2019/11/28,49.339443
2019/11/29,54.373334
2019/11/30,55.363611
2019/12/1,56.642778
2019/12/2,54.357498
2019/12/3,51.551945
2019/12/4,52.154444
2019/12/5,52.175556
2019/12/6,56.908887
2019/12/7,60.02889
2019/12/8,59.361389
2019/12/9,52.79222
2019/12/10,51.78361
2019/12/11,54.205002
2019/12/12,53.189723
2019/12/13,58.277224
2019/12/14,60.423889
2019/12/15,59.610278
2019/12/16,52.168888
2019/12/17,50.480833
2019/12/18,51.002502
2019/12/19,52.176387
2019/12/20,57.735555
2019/12/21,57.802501
2019/12/22,59.606666
2019/12/23,53.28
2019/12/24,53.688056
2019/12/25,52.249444
2019/12/26,53.448333
2019/12/27,58.769998
2019/12/28,58.363332
2019/12/29,58.039166
2019/12/30,55.984166
2019/12/31,62.649166
2020/1/1,64.761389
2020/1/2,59.033611
2020/1/3,60.311944
2020/1/4,60.599721
2020/1/5,58.945556
2020/1/6,56.623057
2020/1/7,59.032776
2020/1/8,65.161946
2020/1/9,70.90361
2020/1/10,80.4425
2020/1/11,89.995278
2020/1/12,104.529165
2020/1/13,96.430556
2020/1/14,107.043056
2020/1/15,114.533053
2020/1/16,128.832221
2020/1/17,145.578335
2020/1/18,164.616112
2020/1/19,166.300834
2020/1/20,152.848056
2020/1/21,132.029168
2020/1/22,114.718612
2020/1/23,99.710278
2020/1/24,36.658055
2020/1/25,22.512778
2020/1/26,13.011111
2020/1/27,8.730555
2020/1/28,7.234167
2020/1/29,6.149445
2020/1/30,5.655834
2020/1/31,4.574445
2020/2/1,4.548889
2020/2/2,4.262775
2020/2/3,3.717221
2020/2/4,3.539167
2020/2/5,3.571109
2020/2/6,3.63139
2020/2/7,3.709723
2020/2/8,3.555833
2020/2/9,3.575832
2020/2/10,3.436945
2020/2/11,3.531943
2020/2/12,3.684444
2020/2/13,3.9725
2020/2/14,3.853334
2020/2/15,3.526945
2020/2/16,3.466389
2020/2/17,3.913886
2020/2/18,3.858056
2020/2/19,4.059444
2020/2/20,4.315555
2020/2/21,4.666665
2020/2/22,5.132779
2020/2/23,5.071945
2020/2/24,5.217777
2020/2/25,5.570555
2020/2/26,5.46111
2020/2/27,5.112222
2020/2/28,5.040833
2020/2/29,5.004167
2020/3/1,5.135557
2020/3/2,5.035
2020/3/3,5.324722
2020/3/4,5.493057
2020/3/5,5.878332
2020/3/6,6.015832
2020/3/7,6.012498
2020/3/8,5.888056
2020/3/9,6.221944
2020/3/10,6.708889
2020/3/11,7.358332
2020/3/12,7.725
2020/3/13,9.080002
2020/3/14,12.809721
2020/3/15,17.785555
2020/3/16,20.688056
2020/3/17,23.450275
2020/3/18,25.424723
2020/3/19,28.596946
2020/3/20,32.070276
2020/3/21,34.678888
2020/3/22,35.277778
2020/3/23,36.003057
2020/3/24,37.6
2020/3/25,41.364167
2020/3/26,40.011666
2020/3/27,38.594997
2020/3/28,41.259444
2020/3/29,39.745276
2020/3/30,38.414445
2020/3/31,40.238892
2020/4/1,41.307776
2020/4/2,41.818054
2020/4/3,43.893889
2020/4/4,42.216944
2020/4/5,44.262223
2020/4/6,43.764168
2020/4/7,42.638055
2020/4/8,66.156668
2020/4/9,61.327778
2020/4/10,60.905834
2020/4/11,57.658333
2020/4/12,62.774443
2020/4/13,57.356664
2020/4/14,57.376112
2020/4/15,58.2625
2020/4/16,57.420277
2020/4/17,59.667499
2020/4/18,56.910555
2020/4/19,60.878336
2020/4/20,54.779724
2020/4/21,54.321946
2020/4/22,57.280001
2020/4/23,57.375554
2020/4/24,60.998332
2020/4/25,63.171666
2020/4/26,59.855279
2020/4/27,60.488888
2020/4/28,63.742777
2020/4/29,67.099722
2020/4/30,92.609723
2020/5/1,95.200833
2020/5/2,85.145001
2020/5/3,86.459443
2020/5/4,82.979723
2020/5/5,88.606111
2020/5/6,50.588613
2020/5/7,50.8775
2020/5/8,51.404722
